T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
17,Middle Africa,2021,Exports FOB (millions of US dollars),,,"77,869",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2022,Exports FOB (millions of US dollars),,,"99,693",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2023,Exports FOB (millions of US dollars),,,"82,801",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,1995,Balance imports/exports (millions of US dollars),,,"5,542",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2005,Balance imports/exports (millions of US dollars),,,"30,278",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2010,Balance imports/exports (millions of US dollars),,,"47,094",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2015,Balance imports/exports (millions of US dollars),,,"19,179",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2021,Balance imports/exports (millions of US dollars),,,"43,655",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2022,Balance imports/exports (millions of US dollars),,,"52,510",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2023,Balance imports/exports (millions of US dollars),,,"26,357",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,1995,Imports CIF (millions of US dollars),,,"26,745",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2005,Imports CIF (millions of US dollars),,,"63,786",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2010,Imports CIF (millions of US dollars),,,"97,723",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2015,Imports CIF (millions of US dollars),,,"103,942",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2021,Imports CIF (millions of US dollars),,,"112,070",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2022,Imports CIF (millions of US dollars),,,"132,068",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2023,Imports CIF (millions of US dollars),,,"124,869",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,1995,Exports FOB (millions of US dollars),,,"28,214",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2005,Exports FOB (millions of US dollars),,,"56,076",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2010,Exports FOB (millions of US dollars),,,"95,232",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
18,Southern Africa,2015,Exports FOB (millions of US dollars),,,"93,420",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
